timestamp,source,lux
2021-06-07 13:14:36.309000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,656.71625
2021-06-07 13:14:43.037000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,419.10373
2021-06-07 13:15:48.435000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,501.13998
2021-06-07 13:16:02.855000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,429.23123
2021-06-07 13:16:08.356000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,486.84625
2021-06-07 13:16:20.084000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,422.4425
2021-06-07 13:16:28.310000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,487.13623
2021-06-07 13:17:17.295000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,418.1175
2021-06-07 13:18:26.267000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,474.0325
2021-06-07 13:19:25.710000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,380.63373
2021-06-07 13:19:35.412000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,489.7375
2021-06-07 13:19:52.272000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,553.72
2021-06-07 13:20:10.832000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,528.40625
2021-06-07 13:20:54.625000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,594.54626
2021-06-07 13:21:00.116000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,507.94125
2021-06-07 13:21:22.770000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,453.98123
2021-06-07 13:21:28.525000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,522.47
2021-06-07 13:23:04.701000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,429.935
2021-06-07 13:23:07.515000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,564.52124
2021-06-07 13:23:09.242000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,670.7387
2021-06-07 13:23:16.568000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,392.88373
2021-06-07 13:23:18.264000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,435.485
2021-06-07 13:23:25.057000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,528.6162
2021-06-07 13:23:35.381000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,426.845
2021-06-07 13:23:46.740000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,670.77124
2021-06-07 13:23:50.168000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,600.77625
2021-06-07 13:24:13.977000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,586.07874
2021-06-07 13:24:36.285000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,551.52875
2021-06-07 13:24:41.961000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,526.58246
2021-06-07 13:24:45.203000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,566.6362
2021-06-07 13:24:50.938000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,587.65497
2021-06-07 13:24:56.342000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,700.21875
2021-06-07 13:24:57.743000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,633.57623
2021-06-07 13:25:00.776000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,730.3675
2021-06-07 13:25:28.413000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,648.64
2021-06-07 13:25:39.340000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,529.6862
2021-06-07 13:25:40.370000+02:00,test_spring2021_internal_Jessica.Google.Pixel 4a,219.59
